snd 	0.00	S   	   0	   0	   0
snd/RXT	0.11	D   	1701	 100	   1
snd/RXT	0.11	D   	1801	 100	   1
rcv 	0.12	A   	   1	   0	1601
rcv 	0.12	A   	   1	   0	1701
rcv 	0.12	A   	   1	   0	1801
rcv 	0.12	A   	   1	   0	1901
rcv 	0.13	A   	   1	   0	2001
rcv 	0.13	A   	   1	   0	2101
rcv 	0.13	A   	   1	   0	2101
rcv 	0.13	A   	   1	   0	2101
rcv 	0.13	A   	   1	   0	2101
rcv 	0.14	A   	   1	   0	2101
snd/RXT	0.14	D   	1901	 100	   1
snd/RXT	0.14	D   	2001	 100	   1
snd 	0.14	D   	2101	 100	   1
snd/RXT	0.14	D   	2101	 100	   1
snd/drop	0.15	D   	2201	 100	   1
snd/drop	0.15	D   	2301	 100	   1
snd 	0.16	D   	2401	 100	   1
snd/drop	0.16	D   	2501	 100	   1
snd 	0.16	D   	2601	 100	   1
snd/RXT	0.16	D   	2101	 100	   1
snd/RXT	0.16	D   	2201	 100	   1
snd/RXT	0.17	D   	2301	 100	   1
snd/RXT	0.17	D   	2401	 100	   1
rcv 	0.17	A   	   1	   0	2201
rcv 	0.17	A   	   1	   0	2201
rcv 	0.17	A   	   1	   0	2201
rcv 	0.17	A   	   1	   0	2201
rcv 	0.17	A   	   1	   0	2201
rcv 	0.17	A   	   1	   0	2301
snd/RXT	0.17	D   	2501	 100	   1
snd/RXT	0.17	D   	2601	 100	   1
snd 	0.17	D   	2701	 100	   1
rcv 	0.17	A   	   1	   0	2501
rcv 	0.17	A   	   1	   0	2501
rcv 	0.17	A   	   1	   0	2501
snd/RXT	0.17	D   	2301	 100	   1
rcv 	0.17	A   	   1	   0	2701
rcv 	0.17	A   	   1	   0	2701
snd 	0.17	D   	2801	 100	   1
rcv 	0.17	A   	   1	   0	2701
rcv 	0.17	A   	   1	   0	2801
rcv 	0.17	A   	   1	   0	2801
rcv 	0.18	A   	   1	   0	2901
rcv 	0.18	A   	   1	   0	2901
snd/RXT	0.18	D   	2701	 100	   1
snd 	0.18	D   	2901	 100	   1
snd/RXT	0.18	D   	2901	 100	   1
snd/drop	0.18	D   	3001	  29	   1
rcv 	0.21	A   	   1	   0	3001
rcv 	0.21	A   	   1	   0	3001
snd/RXT	0.21	D   	3001	  29	   1
snd/RXT	0.23	D   	3001	  29	   1
rcv 	0.24	A   	   1	   0	3030
snd 	0.24	F   	3030	   0	   1
rcv 	0.24	A   	   1	   0	   1
rcv 	0.24	F   	   1	   0	3030
rcv 	3.24	F   	   1	   0	3030
snd 	3.24	A   	3030	   0	   1

=============================================================
Size of the file (in Bytes) 3029
Segments transmitted (including drop & RXT) 70
Number of Segments handled by PLD 10
Number of Segments dropped 10
Number of Segments Corrupted 0
Number of Segments Re-ordered 0
Number of Segments Duplicated 0
Number of Segments Delayed 0
Number of Retransmissions due to TIMEOUT 2
Number of FAST RETRANSMISSION 7
Number of DUP ACKS received 40
=============================================================
