rcv 	0.30	A   	   1	   0	3001
rcv 	0.30	A   	   1	   0	3001
rcv 	0.30	A   	   1	   0	3001
snd/RXT	0.30	D   	3001	  29	   1
snd/RXT	0.30	D   	3001	  29	   1
rcv 	0.34	A   	   1	   0	3030
snd 	0.34	F   	3030	   0	   1
rcv 	0.34	A   	   1	   0	   1
rcv 	0.34	F   	   1	   0	3030
rcv 	0.34	F   	   1	   0	3030
rcv 	0.34	F   	   1	   0	3030
rcv 	3.35	F   	   1	   0	3030
snd 	3.35	A   	3030	   0	   1

=============================================================
Size of the file (in Bytes) 3029
Segments transmitted (including drop & RXT) 75
Number of Segments handled by PLD 2
Number of Segments dropped 2
Number of Segments Corrupted 0
Number of Segments Re-ordered 0
Number of Segments Duplicated 0
Number of Segments Delayed 0
Number of Retransmissions due to TIMEOUT 1
Number of FAST RETRANSMISSION 9
Number of DUP ACKS received 46
=============================================================
