snd 	2.24	A   	   1	   0	1901
rcv 	2.25	D   	1851	  50	   1
snd/DA	2.25	A   	   1	   0	1901
rcv 	2.25	D   	1651	  50	   1
snd/DA	2.25	A   	   1	   0	1901
rcv 	2.26	D   	1901	  50	   1
snd 	2.26	A   	   1	   0	1951
rcv 	2.26	D   	2101	  50	   1
rcv 	2.26	D   	2151	  50	   1
rcv 	2.27	D   	2201	  50	   1
rcv 	2.28	D   	2201	  50	   1
rcv 	2.28	D   	1851	  50	   1
snd/DA	2.28	A   	   1	   0	1951
rcv 	2.28	D   	2251	  50	   1
rcv 	2.28	D   	2301	  50	   1
rcv 	2.28	D   	2301	  50	   1
rcv 	2.28	D   	2351	  50	   1
rcv 	2.30	D   	1901	  50	   1
snd/DA	2.30	A   	   1	   0	1951
rcv 	2.30	D   	1951	  50	   1
snd 	2.30	A   	   1	   0	2001
rcv 	2.30	D   	2001	  50	   1
snd 	2.30	A   	   1	   0	2051
rcv 	2.31	D   	2051	  50	   1
snd 	2.31	A   	   1	   0	2151
snd 	2.31	A   	   1	   0	2201
snd 	2.31	A   	   1	   0	2251
snd 	2.31	A   	   1	   0	2301
snd 	2.31	A   	   1	   0	2351
snd 	2.31	A   	   1	   0	2401
snd 	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2101	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2151	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2201	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2251	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2301	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.31	D   	2351	  50	   1
snd/DA	2.31	A   	   1	   0	2401
rcv 	2.32	D   	2401	  50	   1
snd 	2.32	A   	   1	   0	2451
rcv 	2.32	D   	1901	  50	   1
snd/DA	2.32	A   	   1	   0	2451
rcv 	2.32	D   	1901	  50	   1
snd/DA	2.32	A   	   1	   0	2451
rcv 	2.32	D   	1951	  50	   1
snd/DA	2.32	A   	   1	   0	2451
rcv 	2.32	D   	2001	  50	   1
snd/DA	2.32	A   	   1	   0	2451
rcv 	2.32	D   	2451	  50	   1
snd 	2.32	A   	   1	   0	2501
rcv 	2.32	D   	2451	  50	   1
snd/DA	2.32	A   	   1	   0	2501
rcv 	2.34	D   	2501	  50	   1
snd 	2.34	A   	   1	   0	2551
rcv 	2.34	D   	2501	  50	   1
snd/DA	2.34	A   	   1	   0	2551
rcv 	2.35	D   	2551	  50	   1
snd 	2.35	A   	   1	   0	2601
rcv 	2.37	D   	2651	  50	   1
rcv 	2.37	D   	2651	  50	   1
rcv 	2.37	D   	2701	  50	   1
rcv 	2.37	D   	2701	  50	   1
rcv 	2.37	D   	2751	  50	   1
rcv 	2.38	D   	2601	  50	   1
snd 	2.38	A   	   1	   0	2701
snd 	2.38	A   	   1	   0	2751
snd 	2.38	A   	   1	   0	2801
snd 	2.38	A   	   1	   0	2801
rcv 	2.39	D   	2801	  50	   1
snd 	2.39	A   	   1	   0	2851
rcv 	2.39	D   	2851	  50	   1
snd 	2.39	A   	   1	   0	2901
rcv 	2.39	D   	2901	  50	   1
snd 	2.39	A   	   1	   0	2951
rcv 	2.39	D   	2951	  50	   1
snd 	2.39	A   	   1	   0	3001
rcv 	2.39	D   	3001	  50	   1
snd 	2.39	A   	   1	   0	3051
rcv 	2.39	D   	3001	  50	   1
snd/DA	2.39	A   	   1	   0	3051
rcv 	2.39	D   	3051	  50	   1
snd 	2.39	A   	   1	   0	3101
rcv 	2.39	D   	3101	  50	   1
snd 	2.39	A   	   1	   0	3151
rcv 	2.39	D   	3151	  50	   1
snd 	2.39	A   	   1	   0	3201
rcv 	2.40	D   	3201	  50	   1
snd 	2.40	A   	   1	   0	3251
rcv 	2.40	D   	2701	  50	   1
snd/DA	2.40	A   	   1	   0	3251
rcv 	2.41	D   	2751	  50	   1
snd/DA	2.41	A   	   1	   0	3251
rcv 	2.41	D   	2801	  50	   1
snd/DA	2.41	A   	   1	   0	3251
rcv 	2.41	D   	2851	  50	   1
snd/DA	2.41	A   	   1	   0	3251
rcv 	2.41	D   	2901	  50	   1
snd/DA	2.41	A   	   1	   0	3251
rcv 	2.43	D   	3151	  50	   1
snd/DA	2.43	A   	   1	   0	3251
rcv 	2.43	D   	3201	  50	   1
snd/DA	2.43	A   	   1	   0	3251
rcv 	2.43	D   	3251	  50	   1
rcv 	2.43	D   	3301	  50	   1
rcv 	2.43	D   	3351	  50	   1
rcv 	2.44	D   	3251	  50	   1
snd 	2.44	A   	   1	   0	3301
rcv 	2.46	D   	3451	  50	   1
rcv 	2.47	D   	3501	  50	   1
rcv 	2.47	D   	3551	  50	   1
rcv 	2.47	D   	3551	  50	   1
rcv 	2.47	D   	3601	  50	   1
rcv 	2.48	D   	3651	  50	   1
rcv 	2.48	D   	3651	  50	   1
rcv 	2.49	D   	3301	  50	   1
snd 	2.49	A   	   1	   0	3401
snd 	2.49	A   	   1	   0	3401
rcv 	2.50	D   	3701	  50	   1
rcv 	2.50	D   	3751	  50	   1
rcv 	2.50	D   	3801	  50	   1
rcv 	2.51	D   	3301	  50	   1
snd/DA	2.51	A   	   1	   0	3401
rcv 	2.52	D   	3401	  50	   1
snd 	2.52	A   	   1	   0	3451
rcv 	2.53	D   	3451	  50	   1
snd 	2.53	A   	   1	   0	3551
snd 	2.53	A   	   1	   0	3601
snd 	2.53	A   	   1	   0	3651
snd 	2.53	A   	   1	   0	3701
snd 	2.53	A   	   1	   0	3751
snd 	2.53	A   	   1	   0	3751
rcv 	2.54	D   	3751	  50	   1
snd 	2.55	A   	   1	   0	3851
snd 	2.55	A   	   1	   0	3851
rcv 	2.55	D   	3801	  50	   1
snd/DA	2.55	A   	   1	   0	3851
rcv 	2.55	D   	3851	  50	   1
snd 	2.55	A   	   1	   0	3901
rcv 	2.55	D   	3751	  50	   1
snd/DA	2.55	A   	   1	   0	3901
rcv 	2.55	D   	3751	  50	   1
snd/DA	2.55	A   	   1	   0	3901
rcv 	2.56	D   	3851	  50	   1
snd/DA	2.56	A   	   1	   0	3901
rcv 	2.56	D   	3901	  50	   1
snd 	2.56	A   	   1	   0	3951
rcv 	2.56	D   	3951	  50	   1
snd 	2.56	A   	   1	   0	4001
rcv 	2.56	D   	4001	  50	   1
snd 	2.56	A   	   1	   0	4051
rcv 	2.56	D   	4051	  50	   1
snd 	2.56	A   	   1	   0	4101
rcv 	2.56	D   	4101	  50	   1
snd 	2.56	A   	   1	   0	4151
rcv 	2.56	D   	4151	  50	   1
snd 	2.56	A   	   1	   0	4201
rcv 	2.60	D   	4201	  50	   1
rcv 	2.60	D   	4201	  50	   1
snd 	2.60	A   	   1	   0	4251
rcv 	2.61	D   	4201	  50	   1
snd/DA	2.61	A   	   1	   0	4251
rcv 	2.61	D   	4251	  50	   1
snd 	2.61	A   	   1	   0	4301
rcv 	2.62	D   	4251	  50	   1
snd/DA	2.62	A   	   1	   0	4301
rcv 	2.62	D   	4351	  50	   1
rcv 	2.62	D   	4401	  50	   1
rcv 	2.62	D   	4451	  50	   1
rcv 	2.63	D   	4301	  50	   1
snd 	2.63	A   	   1	   0	4401
snd 	2.63	A   	   1	   0	4451
snd 	2.63	A   	   1	   0	4501
snd 	2.63	A   	   1	   0	4501
rcv 	2.63	D   	4501	  50	   1
snd 	2.63	A   	   1	   0	4551
rcv 	2.63	D   	4551	  50	   1
snd 	2.63	A   	   1	   0	4601
rcv 	2.63	D   	4601	  50	   1
snd 	2.63	A   	   1	   0	4651
rcv 	2.63	D   	4651	  50	   1
snd 	2.63	A   	   1	   0	4701
rcv 	2.64	D   	4701	  50	   1
snd 	2.64	A   	   1	   0	4751
rcv 	2.64	D   	4751	  50	   1
snd 	2.64	A   	   1	   0	4801
rcv 	2.64	D   	4801	  50	   1
snd 	2.64	A   	   1	   0	4851
rcv 	2.65	D   	4851	  50	   1
rcv 	2.65	D   	4901	  50	   1
rcv 	2.65	D   	4951	  50	   1
rcv 	2.66	D   	5001	  50	   1
rcv 	2.67	D   	4851	  50	   1
snd 	2.67	A   	   1	   0	4951
